Study,File,Variable,Variable Label,Type,N Non-missing,N Missing,Lowest Value,10% Value,20% Value,30% Value,40% Value,50% Value,60% Value,70% Value,80% Value,90% Value,Highest Value
EMD_NCT01016483_1_mek,AE,AESOC,Primary System Organ Class,Char,930,0,Blood and lymphatic system disorders,Blood and lymphatic system disorders,Blood and lymphatic system disorders,Gastrointestinal disorders,Gastrointestinal disorders,General disorders and administration site conditions,General disorders and administration site conditions,Investigations,Investigations,Musculoskeletal and connective tissue disorders,Vascular disorders
EMD_NCT01016483_1_mek,AE,AESOCCD,Primary System Organ Class Code,Num,930,0,10005329,10005329,10005329,10017947,10017947,10018065,10018065,10022891,10022891,10028395,10047065
EMD_NCT01016483_1_mek,AE,AESER,Serious Event,Char,930,0,N,N,N,N,N,N,N,N,N,Y,Y
EMD_NCT01016483_1_mek,AE,AEACN,Action Taken with Study Treatment,Char,930,0,DOSE NOT CHANGED,DOSE NOT CHANGED,DOSE NOT CHANGED,DOSE NOT CHANGED,DOSE NOT CHANGED,DOSE NOT CHANGED,DOSE NOT CHANGED,DRUG INTERRUPTED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
EMD_NCT01016483_1_mek,AE,AEACNOTH,Other Action Taken,Char,694,236,LED TO STUDY TERMINATION,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
EMD_NCT01016483_1_mek,AE,AEREL,Causality,Char,928,2,RELATED,RELATED,UNRELATED,UNRELATED,UNRELATED,UNRELATED,UNRELATED,UNRELATED,UNRELATED,UNRELATED,UNRELATED
EMD_NCT01016483_1_mek,AE,AERELNST,Relationship to Non-Study Treatment,Char,930,0,CONCOMITANT MEDICATION,DISEASE UNDER STUDY,DISEASE UNDER STUDY,DISEASE UNDER STUDY,DISEASE UNDER STUDY,NONE,NONE,NONE,NONE,NONE,PROTOCOL PROCEDURE
EMD_NCT01016483_1_mek,AE,AEOUT,Outcome of Adverse Event,Char,780,150,FATAL,NOT RECOVERED/NOT RESOLVED,RECOVERED/RESOLVED,RECOVERED/RESOLVED,RECOVERED/RESOLVED,RECOVERED/RESOLVED,RECOVERED/RESOLVED,RECOVERED/RESOLVED,RECOVERED/RESOLVED,RECOVERED/RESOLVED,UNKNOWN
EMD_NCT01016483_1_mek,AE,AESCONG,Congenital Anomaly or Birth Defect,Char,0,930,,,,,,,,,,,
EMD_NCT01016483_1_mek,AE,AESDISAB,Persist or Signif Disability/Incapacity,Char,2,928,Y,,,,,,,,,,Y
EMD_NCT01016483_1_mek,AE,AESDTH,Results in Death,Char,23,907,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EMD_NCT01016483_1_mek,AE,AESHOSP,Requires or Prolongs Hospitalization,Char,40,890,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EMD_NCT01016483_1_mek,AE,AESLIFE,Is Life Threatening,Char,4,926,Y,,,,,Y,,,Y,,Y
EMD_NCT01016483_1_mek,AE,AESMIE,Other Medically Important Serious Event,Char,49,881,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EMD_NCT01016483_1_mek,AE,AECONTRT,Concomitant or Additional Trtmnt Given,Char,241,689,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EMD_NCT01016483_1_mek,AE,AETOXGR,Standard Toxicity Grade,Char,930,0,1,1,1,1,1,1,2,2,2,3,5
EMD_NCT01016483_1_mek,AE,ETCD,Element Code,Char,929,1,FU,PTP,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,UNPLAN
EMD_NCT01016483_1_mek,AE,ELEMENT,Description of Element,Char,927,3,Follow-up Period,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Post Treatment Period,Screening
EMD_NCT01016483_1_mek,AE,EPOCH,Epoch,Char,929,1,FOLLOW-UP,POST TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT
EMD_NCT01016483_1_mek,AE,AESTDTC,Start Date/Time of Adverse Event,Char,930,0,2012-12-24,2013-05-12,2013-07-11,2013-08-12,2013-09-08,2013-10-07,2013-11-18,2014-01-08,2014-03-19,2014-06-15,2015-02-02
EMD_NCT01016483_1_mek,AE,AEENDTC,End Date/Time of Adverse Event,Char,930,0,******,******,2013-05-14,2013-07-28,2013-09-04,2013-10-04,2013-11-17,2014-01-08,2014-03-24,2014-06-24,2015-02-02
EMD_NCT01016483_1_mek,AE,AESTDY,Study Day of Start of Adverse Event,Num,923,7,-13,5,15,29,54,88,127,178,245,330,604
EMD_NCT01016483_1_mek,AE,AEENDY,Study Day of End of Adverse Event,Num,794,136,-8,15,29,44,84,113,157,211,271,348,604
EMD_NCT01016483_1_mek,AE,AEENRTPT,End Relative to Reference Time Point,Char,121,809,AFTER,AFTER,AFTER,AFTER,AFTER,AFTER,AFTER,AFTER,AFTER,AFTER,U
EMD_NCT01016483_1_mek,AE,AEENTPT,End Reference Time Point,Char,121,809,STUDY END,STUDY END,STUDY END,STUDY END,STUDY END,STUDY END,STUDY END,STUDY END,STUDY END,STUDY END,STUDY END
EMD_NCT01016483_1_mek,CM,STUDYID,Study Identifier,Char,995,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,CM,DOMAIN,Domain Abbreviation,Char,995,0,CM,CM,CM,CM,CM,CM,CM,CM,CM,CM,CM
EMD_NCT01016483_1_mek,CM,USUBJID,Unique Subject Identifier,Char,995,0,1,3,11,17,21,25,31,34,38,41,44
EMD_NCT01016483_1_mek,CM,CMSEQ,Sequence Number,Num,995,0,1,3,5,8,10,13,16,20,26,34,71
EMD_NCT01016483_1_mek,CM,CMGRPID,Group ID,Char,4,991,0,,,,,0,,,0,,0
EMD_NCT01016483_1_mek,CM,CMSPID,Sponsor-Defined Identifier,Char,995,0,1,1,12,15,2,22,3,39,5,7,9
EMD_NCT01016483_1_mek,CM,CMTRT,"Reported Name of Drug, Med, or Therapy",Char,0,995,,,,,,,,,,,
EMD_NCT01016483_1_mek,CM,CMDECOD,Standardized Medication Name,Char,928,67,ACETYLCYSTEINE,AMOXICILLIN,DOMPERIDONE,GEMCITABINE,LOSARTAN POTASSIUM,MOVICOL                            /01749801/,ONDANSETRON,ONDANSETRON HYDROCHLORIDE,PANTOPRAZOLE SODIUM SESQUIHYDRATE,PREDNISONE,ZOLPIDEM TARTRATE
EMD_NCT01016483_1_mek,CM,CMCAT,Category for Medication,Char,995,0,CONCOMITANT MEDICATIONS,CONCOMITANT MEDICATIONS,CONCOMITANT MEDICATIONS,CONCOMITANT MEDICATIONS,CONCOMITANT MEDICATIONS,CONCOMITANT MEDICATIONS,CONCOMITANT MEDICATIONS,CONCOMITANT MEDICATIONS,CONCOMITANT MEDICATIONS,FURTHER ANTI-CANCER TREATMENT,PRIOR ANTI-CANCER TREATMENT
EMD_NCT01016483_1_mek,CM,CMSCAT,Subcategory for Medication,Char,30,965,DRUG THERAPY,DRUG THERAPY,SURGERY,SURGERY,SURGERY,SURGERY,SURGERY,SURGERY,SURGERY,SURGERY,SURGERY
EMD_NCT01016483_1_mek,CM,CMINDC,Indication,Char,0,995,,,,,,,,,,,
EMD_NCT01016483_1_mek,CM,CMDOSE,Dose per Administration,Num,837,158,0.18,1,4,5,8,15,25,50,100,500,40000
EMD_NCT01016483_1_mek,CM,CMDOSTXT,Dose Description,Char,33,962,"0,5",1-2,10-20,10MG/5MLS,1DOSE,20,30/500,NOT SPECIFIED,UNK,UNK,UNTIL 160
EMD_NCT01016483_1_mek,CM,CMDOSU,Dose Units,Char,872,123,Gy,OTHER,OTHER,mg,mg,mg,mg,mg,mg,mg,ug
EMD_NCT01016483_1_mek,CM,CMDOSFRQ,Dosing Frequency per Interval,Char,873,122,BID,BID,OTHER,PRN,PRN,QD,QD,QD,QD,QID,TID
EMD_NCT01016483_1_mek,CM,CMROUTE,Route of Administration,Char,873,122,INTRAMUSCULAR,INTRAVENOUS,INTRAVENOUS,INTRAVENOUS,ORAL,ORAL,ORAL,ORAL,ORAL,OTHER,TOPICAL
EMD_NCT01016483_1_mek,CM,ETCD,Element Code,Char,758,237,FU,MPTP,PTP,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA
EMD_NCT01016483_1_mek,CM,ELEMENT,Description of Element,Char,758,237,Follow-up Period,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Pimasertib Monotherapy,Post Treatment Period,Screening
EMD_NCT01016483_1_mek,CM,EPOCH,Epoch,Char,758,237,FOLLOW-UP,MONOTHERAPY TREATMENT,POST TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT
EMD_NCT01016483_1_mek,CM,CMSTDTC,Start Date/Time of Medication,Char,995,0,******,2012-12,2013-04-14,2013-06-04,2013-07-17,2013-08-14,2013-09-11,2013-10-16,2013-12-15,2014-03-19,2014-12-18
EMD_NCT01016483_1_mek,CM,CMENDTC,End Date/Time of Medication,Char,995,0,******,******,******,******,2013-05-21,2013-07-22,2013-09-02,2013-10-09,2013-12-11,2014-03-21,2014-12-18
EMD_NCT01016483_1_mek,CM,CMSTDY,Study Day of Start of Medication,Num,876,119,-3677,-25,1,8,21,40,71,99,152,239,477
EMD_NCT01016483_1_mek,CM,CMENDY,Study Day of End of Medication,Num,677,318,-319,8,15,28,37,68,96,127,197,267,450
EMD_NCT01016483_1_mek,CM,CMENRTPT,End Relative to Reference Time Point,Char,919,76,BEFORE,BEFORE,BEFORE,BEFORE,BEFORE,BEFORE,BEFORE,BEFORE,ONGOING,ONGOING,ONGOING
EMD_NCT01016483_1_mek,CM,CMENTPT,End Reference Time Point,Char,919,76,STUDY END,STUDY END,STUDY END,STUDY END,STUDY END,STUDY END,STUDY END,STUDY END,STUDY END,STUDY END,STUDY END
EMD_NCT01016483_1_mek,CO,STUDYID,Study Identifier,Char,276,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,CO,DOMAIN,Domain Abbreviation,Char,276,0,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO
EMD_NCT01016483_1_mek,CO,RDOMAIN,Related Domain Abbreviation,Char,276,0,AE,AE,AE,AE,AE,AE,EG,EG,EG,ZO,ZO
EMD_NCT01016483_1_mek,CO,USUBJID,Unique Subject Identifier,Char,276,0,3,7,13,21,26,31,35,37,38,42,44
EMD_NCT01016483_1_mek,CO,COSEQ,Sequence Number,Num,276,0,1,1,2,3,4,6,7,10,15,25,41
EMD_NCT01016483_1_mek,CO,IDVAR,Identifying Variable,Char,276,0,AESEQ,AESEQ,AESEQ,AESEQ,AESEQ,AESEQ,EGGRPID,EGGRPID,EGGRPID,VISIT,VISIT
EMD_NCT01016483_1_mek,CO,IDVARVAL,Identifying Variable Value,Char,276,0,1,11,17,22,3,5,9,CYCLE 1 DAY 29,CYCLE 1 DAY 50,END OF TREATMENT 2013-09-19 ECG,UNSCHEDULED 2014-03-14 ECG
EMD_NCT01016483_1_mek,CO,COVAL,Comment,Char,0,276,,,,,,,,,,,
EMD_NCT01016483_1_mek,CO,COVAL1,Comment,Char,0,276,,,,,,,,,,,
EMD_NCT01016483_1_mek,CO,CODTC,Date/Time of Comment,Char,276,0,******,******,******,******,******,******,2012-12-30T13:50,2013-06-12T18:11,2013-08-11T08:52,2013-10-03,2014-08-19T16:40
EMD_NCT01016483_1_mek,CO,CODY,Study Day of Comment,Num,113,163,-33,-6,1,1,15,29,36,57,111,205,391
EMD_NCT01016483_1_mek,DATADICT,LIBNAME,Library Name,Char,658,0,ANON,ANON,ANON,ANON,ANON,ANON,ANON,ANON,ANON,ANON,ANON
EMD_NCT01016483_1_mek,DATADICT,MEMNAME,Library Member Name,Char,658,0,AE,CM,DV,IE,RS,SUPPDS,SUPPRS,TR,VS,XX,ZO
EMD_NCT01016483_1_mek,DATADICT,MEMLABEL,Data Set Label,Char,0,658,,,,,,,,,,,
EMD_NCT01016483_1_mek,DATADICT,TYPEMEM,Special Data Set Type (From TYPE=),Char,0,658,,,,,,,,,,,
EMD_NCT01016483_1_mek,DATADICT,NAME,Variable Name,Char,658,0,ACTARM,CMTRT,EGSTRESN,ETCD,LBDY,QLABEL,RSSEQ,TAETORD,USUBJID,VSSTRESU,ZOTESTCD
EMD_NCT01016483_1_mek,DATADICT,TYPE,Variable Type,Num,658,0,1,1,2,2,2,2,2,2,2,2,2
EMD_NCT01016483_1_mek,DATADICT,LENGTH,Variable Length,Num,658,0,1,2,8,8,8,10,19,25,33,50,200
EMD_NCT01016483_1_mek,DATADICT,VARNUM,Variable Number,Num,658,0,1,2,4,5,7,9,11,14,17,22,41
EMD_NCT01016483_1_mek,DATADICT,LABEL,Variable Label,Char,658,0,Action Taken with Study Treatment,Date/Time of Collection,Domain Abbreviation,Epoch,Identifying Variable Value,Other Medically Important Serious Event,Reason Not Performed,Sequence Number,Study Identifier,Unique Subject Identifier,Vital Signs Test Short Name
EMD_NCT01016483_1_mek,DATADICT,FORMAT,Variable Format,Char,0,658,,,,,,,,,,,
EMD_NCT01016483_1_mek,DATADICT,FORMATL,Format Length,Num,658,0,0,0,0,0,0,0,0,0,0,0,0
EMD_NCT01016483_1_mek,DATADICT,FORMATD,Number of Format Decimals,Num,658,0,0,0,0,0,0,0,0,0,0,0,0
EMD_NCT01016483_1_mek,DATADICT,INFORMAT,Variable Informat,Char,0,658,,,,,,,,,,,
EMD_NCT01016483_1_mek,DATADICT,INFORML,Informat Length,Num,658,0,0,0,0,0,0,0,0,0,0,0,0
EMD_NCT01016483_1_mek,DATADICT,INFORMD,Number of Informat Decimals,Num,658,0,0,0,0,0,0,0,0,0,0,0,0
EMD_NCT01016483_1_mek,DATADICT,JUST,Justification,Num,658,0,0,0,0,0,0,0,0,0,0,0,0
EMD_NCT01016483_1_mek,DATADICT,NPOS,Position in Buffer,Num,658,0,0,8,24,42,56,96,167,285,374,650,1745
EMD_NCT01016483_1_mek,DATADICT,NOBS,Observations in Data Set,Num,658,0,0,42,72,242,299,703,995,1486,8760,10398,23400
EMD_NCT01016483_1_mek,DATADICT,ENGINE,Engine Name,Char,658,0,V9,V9,V9,V9,V9,V9,V9,V9,V9,V9,V9
EMD_NCT01016483_1_mek,DATADICT,CRDATE,Create Date,Num,658,0,1922081485.4,1922081485.4,1922081485.5,1922081485.6,1922081485.7,1922081485.7,1922081485.8,1922081485.9,1922081485.9,1922081485.9,1922081486
EMD_NCT01016483_1_mek,DATADICT,MODATE,Last Modified Date,Num,658,0,1922081485.4,1922081485.4,1922081485.5,1922081485.6,1922081485.7,1922081485.7,1922081485.8,1922081485.9,1922081485.9,1922081485.9,1922081486
EMD_NCT01016483_1_mek,DATADICT,DELOBS,Deleted Observations in Data Set,Num,658,0,0,0,0,0,0,0,0,0,0,0,0
EMD_NCT01016483_1_mek,DATADICT,IDXUSAGE,Use of Variable in Indexes,Char,658,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
EMD_NCT01016483_1_mek,DATADICT,MEMTYPE,Library Member Type,Char,658,0,DATA,DATA,DATA,DATA,DATA,DATA,DATA,DATA,DATA,DATA,DATA
EMD_NCT01016483_1_mek,DATADICT,IDXCOUNT,Number of Indexes for Data Set,Num,658,0,0,0,0,0,0,0,0,0,0,0,0
EMD_NCT01016483_1_mek,DATADICT,PROTECT,Password Protection (Read Write Alter),Char,658,0,---,---,---,---,---,---,---,---,---,---,---
EMD_NCT01016483_1_mek,DATADICT,FLAGS,Update Flags (Protect Contribute Add),Char,658,0,---,---,---,---,---,---,---,---,---,---,---
EMD_NCT01016483_1_mek,DATADICT,COMPRESS,Compression Routine,Char,658,0,CHAR,CHAR,CHAR,CHAR,CHAR,CHAR,CHAR,CHAR,CHAR,CHAR,CHAR
EMD_NCT01016483_1_mek,DATADICT,REUSE,Reuse Space,Char,658,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
EMD_NCT01016483_1_mek,DATADICT,SORTED,Sorted and/or Validated,Num,0,658,.,.,.,.,.,.,.,.,.,.,.
EMD_NCT01016483_1_mek,DATADICT,SORTEDBY,Position of Variable in Sortedby Clause,Num,0,658,.,.,.,.,.,.,.,.,.,.,.
EMD_NCT01016483_1_mek,DATADICT,CHARSET,Host Character Set,Char,0,658,,,,,,,,,,,
EMD_NCT01016483_1_mek,DATADICT,COLLATE,Collating Sequence,Char,0,658,,,,,,,,,,,
EMD_NCT01016483_1_mek,DATADICT,NODUPKEY,Sort Option: No Duplicate Keys,Char,658,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
EMD_NCT01016483_1_mek,DATADICT,NODUPREC,Sort Option: No Duplicate Records,Char,658,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
EMD_NCT01016483_1_mek,DATADICT,ENCRYPT,Encryption Routine,Char,658,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
EMD_NCT01016483_1_mek,DATADICT,POINTOBS,Point to Observations,Char,658,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
EMD_NCT01016483_1_mek,DATADICT,GENMAX,Maximum Number of Generations,Num,658,0,0,0,0,0,0,0,0,0,0,0,0
EMD_NCT01016483_1_mek,DATADICT,GENNUM,Generation Number,Num,0,658,.,.,.,.,.,.,.,.,.,.,.
EMD_NCT01016483_1_mek,DATADICT,GENNEXT,Next Generation Number,Num,0,658,.,.,.,.,.,.,.,.,.,.,.
EMD_NCT01016483_1_mek,DATADICT,TRANSCOD,Character Variables Transcoded,Char,658,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
EMD_NCT01016483_1_mek,DM,STUDYID,Study Identifier,Char,44,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,DM,DOMAIN,Domain Abbreviation,Char,44,0,DM,DM,DM,DM,DM,DM,DM,DM,DM,DM,DM
EMD_NCT01016483_1_mek,DM,USUBJID,Unique Subject Identifier,Char,44,0,1,4,8,13,17,22,26,30,35,39,44
EMD_NCT01016483_1_mek,DM,RFSTDTC,Subject Reference Start Date/Time,Char,44,0,******,2013-03-18,2013-04-27,2013-06-09T09:30,2013-06-29T08:20,2013-07-11T10:00,2013-07-22T10:50,2013-07-29T18:00,2013-09-03T12:30,2013-09-19T08:00,2013-10-27T11:30
EMD_NCT01016483_1_mek,DM,RFENDTC,Subject Reference End Date/Time,Char,44,0,******,2013-05-20T09:45,2013-07-16,2013-09-02,2013-09-25T21:00,2013-10-09T08:45,2013-11-11,2013-12-26T10:00,2014-02-11T21:20,2014-04-22T21:00,2015-02-15T22:20
EMD_NCT01016483_1_mek,DM,RFXSTDTC,Date/Time of First Study Treatment,Char,44,0,******,2013-03-18,2013-04-27,2013-06-09T09:30,2013-06-29T08:20,2013-07-11T10:00,2013-07-22T10:50,2013-07-29T18:00,2013-09-03T12:30,2013-09-19T08:00,2013-10-27T11:30
EMD_NCT01016483_1_mek,DM,RFXENDTC,Date/Time of Last Study Treatment,Char,44,0,******,2013-05-20T09:45,2013-07-16,2013-09-02,2013-09-25T21:00,2013-10-09T08:45,2013-11-11,2013-12-26T10:00,2014-02-11T21:20,2014-04-22T21:00,2015-02-15T22:20
EMD_NCT01016483_1_mek,DM,RFICDTC,Date/Time of Informed Consent,Char,44,0,2012-12-20,2013-03-05,2013-05-02,2013-06-04,2013-06-21,2013-07-02,2013-07-06,2013-07-17,2013-08-21,2013-09-09,2013-10-13
EMD_NCT01016483_1_mek,DM,RFPENDTC,Date/Time of End of Participation,Char,44,0,2013-03-23,2013-06-20,2013-08-11,2013-09-26,2013-10-10,2013-11-03,2013-11-25,2014-01-08,2014-03-16,2014-04-23,2015-03-16
EMD_NCT01016483_1_mek,DM,DTHDTC,Date/Time of Death,Char,44,0,******,******,2013-07-22,2013-09-27,2013-11-19,2013-12-21,2014-03-12,2014-04-16,2014-06-11,2014-09-26,2015-03-05
EMD_NCT01016483_1_mek,DM,DTHFL,Subject Death Flag,Char,44,0,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y
EMD_NCT01016483_1_mek,DM,SITEID,Study Site Identifier,Char,44,0,1,2,4,8,8,10,12,14,18,20,21
EMD_NCT01016483_1_mek,DM,BRTHDTC,Date/Time of Birth,Char,44,0,1932,1939,1942,1947,1947,1948,1950,1953,1957,1960,1972
EMD_NCT01016483_1_mek,DM,AGE,Age,Num,44,0,40,51,54,58,62,64,65,66,67,71,81
EMD_NCT01016483_1_mek,DM,AGEU,Age Units,Char,44,0,YEARS,YEARS,YEARS,YEARS,YEARS,YEARS,YEARS,YEARS,YEARS,YEARS,YEARS
EMD_NCT01016483_1_mek,DM,SEX,Sex,Char,44,0,F,F,F,F,F,F,M,M,M,M,M
EMD_NCT01016483_1_mek,DM,RACE,Race,Char,43,1,WHITE,WHITE,WHITE,WHITE,WHITE,WHITE,WHITE,WHITE,WHITE,WHITE,WHITE
EMD_NCT01016483_1_mek,DM,ARMCD,Planned Arm Code,Char,44,0,A,A,A,A,A,A,A,A,A,A,A
EMD_NCT01016483_1_mek,DM,ARM,Description of Planned Arm,Char,44,0,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo
EMD_NCT01016483_1_mek,DM,ACTARMCD,Actual Arm Code,Char,44,0,A,A,A,A,A,A,A,A,A,A,NOTTRT
EMD_NCT01016483_1_mek,DM,ACTARM,Description of Actual Arm,Char,44,0,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Arm 1: Gemcitabine and Placebo,Not Treated
EMD_NCT01016483_1_mek,DM,COUNTRY,Country,Char,44,0,1,2,3,3,4,4,4,5,7,7,7
EMD_NCT01016483_1_mek,DM,ETCD,Element Code,Char,44,0,SCRN,SCRN,SCRN,SCRN,SCRN,SCRN,SCRN,SCRN,SCRN,SCRN,SCRN
EMD_NCT01016483_1_mek,DM,ELEMENT,Description of Element,Char,44,0,Screening,Screening,Screening,Screening,Screening,Screening,Screening,Screening,Screening,Screening,Screening
EMD_NCT01016483_1_mek,DM,EPOCH,Epoch,Char,44,0,SCREENING,SCREENING,SCREENING,SCREENING,SCREENING,SCREENING,SCREENING,SCREENING,SCREENING,SCREENING,SCREENING
EMD_NCT01016483_1_mek,DM,DMDTC,Date/Time of Collection,Char,44,0,2012-12-20,2013-03-05,2013-05-02,2013-06-04,2013-06-23,2013-07-03,2013-07-11,2013-07-28,2013-08-25,2013-09-12,2013-10-16
EMD_NCT01016483_1_mek,DM,DMDY,Study Day of Collection,Num,43,1,-29,-20,-16,-13,-10,-8,-7,-6,-6,-2,-1
EMD_NCT01016483_1_mek,DS,STUDYID,Study Identifier,Char,299,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,DS,DOMAIN,Domain Abbreviation,Char,299,0,DS,DS,DS,DS,DS,DS,DS,DS,DS,DS,DS
EMD_NCT01016483_1_mek,DS,USUBJID,Unique Subject Identifier,Char,299,0,1,6,10,15,19,23,28,33,37,41,44
EMD_NCT01016483_1_mek,DS,DSSEQ,Sequence Number,Num,299,0,1,1,2,3,3,4,5,5,6,7,11
